Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2581809,25-Apr-23,Georgia,Lilburn,130 Killian Hill Rd SW,0,0,0,0,0,N/A
2581770,25-Apr-23,North Carolina,Wilmington,555 Halyburton Memorial Pkwy,0,0,0,0,1,N/A
2581218,24-Apr-23,Virginia,Oak Hall,8210 Lankford Hwy,0,0,0,0,1,N/A
2580280,24-Apr-23,Illinois,Dixon,315 Lincoln Statue Dr,0,0,0,0,1,N/A
2581967,24-Apr-23,Indiana,Greentown,421 S Harrison St,0,0,0,0,1,N/A
2581131,24-Apr-23,Indiana,Muncie,801 N Walnut St,0,0,0,0,0,N/A
2580125,24-Apr-23,Oklahoma,Oklahoma City (Midwest City),6420 SE 15th St,0,1,0,0,1,N/A
2580098,24-Apr-23,Texas,Roscoe,700 Elm St,0,1,0,0,0,N/A
2580175,24-Apr-23,Texas,Port Arthur,3501 Lucian Adams St,0,0,0,0,1,N/A
2580132,24-Apr-23,Wisconsin,Superior,2600 Catlin Ave,0,0,0,0,0,N/A
2587582,24-Apr-23,Nevada,Las Vegas,4601 W Bonanza Rd,0,0,0,0,1,N/A
2586655,24-Apr-23,Illinois,Belleville,1801 Central School Rd,0,0,0,0,1,N/A
2580827,24-Apr-23,Florida,Tavares,603 N New Hampshire Ave,0,0,0,0,1,N/A
2581702,24-Apr-23,California,Morgan Hill,85 Tilton Ave,0,0,0,0,1,N/A
2580580,24-Apr-23,Michigan,Grand Rapids (Walker),4463 Leonard St NW,0,0,0,0,0,N/A
2600121,23-Apr-23,Minnesota,Minneapolis,2600 N 44th Ave,0,0,0,0,1,N/A
2578987,21-Apr-23,Pennsylvania,Philadelphia,3141 Chestnut St,1,0,0,0,0,N/A
2579259,21-Apr-23,California,San Jose,1635 Park Ave,0,0,0,0,1,N/A
2578308,21-Apr-23,Texas,Tyler,3535 Lion Ln,0,0,0,0,1,N/A
2578299,21-Apr-23,New York,Mount Vernon,170 E Lincoln Ave,0,0,0,0,1,N/A
2608058,20-Apr-23,Arizona,Mesa,2700 E Brown Rd,0,0,0,0,1,N/A
2577989,20-Apr-23,Pennsylvania,York,1800 Hollywood Dr,0,0,0,0,1,N/A
2578297,20-Apr-23,Kentucky,Louisville,6300 Terry Rd,0,0,0,0,1,N/A
2582145,19-Apr-23,New Mexico,Albuquerque,8100 Rainbow Blvd NW,0,0,0,0,1,N/A
2577485,19-Apr-23,Texas,Houston,1100 W Main St,0,0,0,0,1,N/A
2580152,19-Apr-23,Michigan,Detroit,18445 Cathedral St,0,0,0,0,1,N/A
2582494,19-Apr-23,Missouri,Grandview,2300 Highgrove Rd,0,0,0,0,1,N/A
2577147,19-Apr-23,Florida,Sebastian,9001 Shark Blvd,0,0,0,0,1,N/A
2577143,19-Apr-23,Florida,Panama City,1000 School Ave,0,0,0,0,1,N/A
2577069,19-Apr-23,Florida,Avon Park,700 E Main St,0,0,0,0,1,N/A
2576998,18-Apr-23,Florida,Boynton Beach,101 S Congress Ave,0,0,0,0,1,N/A
2576202,18-Apr-23,California,Indio,83501 Dillon Ave,0,0,0,0,1,N/A
2576112,18-Apr-23,Florida,Saint Petersburg,850 34th St S,0,0,0,0,1,N/A
2575231,17-Apr-23,West Virginia,Ripley,2 School St,0,0,0,0,1,N/A
2574858,16-Apr-23,California,Lemoore,101 E Bush St,0,0,0,0,1,N/A
2580929,15-Apr-23,Pennsylvania,Bethlehem,27 Memorial Dr W,0,0,0,0,4,N/A
2572601,15-Apr-23,Maryland,Bowie,14000 Jericho Park Rd,0,0,0,0,0,N/A
2573244,15-Apr-23,Pennsylvania,Lincoln University,1570 Baltimore Pike,2,0,0,0,0,N/A
2572510,14-Apr-23,Illinois,Dunlap,5200 W Cedar Hills Dr,0,0,0,0,1,N/A
2572080,14-Apr-23,Tennessee,Harrison,5728 TN-58,0,0,0,0,1,N/A
2574053,14-Apr-23,Georgia,Oxford,801 Emory St,0,0,0,0,0,N/A
2571988,14-Apr-23,Mississippi,Jackson,1400 Murrah Dr,0,0,0,0,1,N/A
2572869,14-Apr-23,Iowa,Ames,1801 Ridgewood Ave,0,0,0,0,1,N/A
2571900,14-Apr-23,North Carolina,Elizabeth City,48 Hollowell Dr,0,0,0,0,0,N/A
2571341,13-Apr-23,Tennessee,Crossville,660 Stanley St,0,0,0,0,1,N/A
2571897,13-Apr-23,Georgia,Atlanta (Dunwoody),2051 Brendon Dr,0,0,0,0,1,N/A
2572983,13-Apr-23,Wisconsin,Manitowoc,2109 Marshall St,0,0,0,0,2,N/A
